Id,SalePrice
1461,124415.71
1462,145405.97
1463,166335.77
1464,182271.48
1465,219610.83
1466,183622.88
1467,154806.73
1468,173505.92
1469,191625.44
1470,128323.414
1471,185919.69
1472,134205.42
1473,134682.2
1474,164264.73
1475,135959.73
1476,368920.16
1477,280089.72
1478,328733.44
1479,295436.9
1480,378843.8
1481,320352.53
1482,230526.97
1483,167649.78
1484,179129.47
1485,190268.36
1486,216193.5
1487,331735.8
1488,281584.75
1489,183796.89
1490,176357.55
1491,210758.92
1492,108962.62
1493,166233.23
1494,322787.5
1495,314819.97
1496,198200.66
1497,212301.17
1498,180852.72
1499,180852.72
1500,162492.17
1501,177180.39
1502,175012.72
1503,282272.9
1504,257275.56
1505,197770.2
1506,185325.88
1507,236648.14
1508,208204.25
1509,180171.66
1510,143600.02
1511,142669.14
1512,149048.06
1513,180497.12
1514,138974.0
1515,189122.11
1516,160689.02
1517,138349.98
1518,150964.84
1519,197251.05
1520,131279.92
1521,133121.03
1522,171889.42
1523,119641.26
1524,125459.49
1525,123952.75
1526,125927.28
1527,107781.18
1528,137213.4
1529,139442.08
1530,160511.58
1531,108832.9
1532,92088.56
1533,145706.25
1534,134945.78
1535,138984.38
1536,116544.71
1537,72607.75
1538,172974.73
1539,242145.92
1540,141781.06
1541,152562.73
1542,139595.0
1543,173617.61
1544,87549.95
1545,130643.97
1546,141300.75
1547,132466.83
1548,144216.34
1549,126806.375
1550,138001.7
1551,123338.38
1552,134410.28
1553,116298.83
1554,129881.625
1555,147282.7
1556,114577.74
1557,101873.016
1558,123052.59
1559,97826.14
1560,138860.45
1561,140599.56
1562,126625.69
1563,126602.14
1564,153280.72
1565,153263.33
1566,195764.4
1567,103564.266
1568,200094.1
1569,124303.09
1570,131456.05
1571,121537.64
1572,129906.39
1573,209879.62
1574,137270.72
1575,196424.0
1576,245878.95
1577,184416.45
1578,136760.84
1579,142480.95
1580,210647.72
1581,135002.75
1582,131672.8
1583,304155.03
1584,240464.44
1585,147285.39
1586,76223.875
1587,124109.01
1588,136540.03
1589,125608.74
1590,139749.64
1591,93085.734
1592,119766.734
1593,125519.305
1594,198649.56
1595,112979.92
1596,184883.27
1597,178215.7
1598,206623.81
1599,213567.06
1600,213498.34
1601,59414.24
1602,123867.14
1603,83044.62
1604,246551.73
1605,298368.16
1606,154867.38
1607,216050.9
1608,226955.39
1609,183600.61
1610,159357.83
1611,144604.44
1612,157868.45
1613,151513.7
1614,131035.82
1615,102591.45
1616,102591.45
1617,119565.445
1618,128096.86
1619,133951.25
1620,260913.06
1621,153076.05
1622,141069.42
1623,252125.31
1624,192941.95
1625,126184.2
1626,162561.69
1627,182146.2
1628,322766.97
1629,205585.45
1630,293991.25
1631,233895.73
1632,248315.45
